char,dialog,movie
Bilbo,    I think Im quite ready for another adventure.  ,The Return of the King
Gandalf,"    Farewell my brave Hobbits. , My work is now finished.    ,Here at last, on the     shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all     tears are an evil. , It is time Frodo.     ",The Return of the King
Sam,    What does he mean?  ,The Return of the King
Frodo,"    We set out to save the Shire Sam and it has been saved, but not for me.  ",The Return of the King
Sam,"    , You dont mean that. You cant     leave. ",The Return of the King
Frodo,    The last pages are for you Sam.  ,The Return of the King
Saruman,"So you have come here for information. I have some for you.    ,Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon.     ,     You are all going to die! But you know this dont you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death.  ",The Return of the King
Gimli,Ive heard enough! Shoot him! Stick an arrow in his gob!  ,The Return of the King
Gandalf,No! Come down Saruman and your life will be spared!  ,The Return of the King
Saruman,Save your pity and your mercy. I have no use for it!    ,The Return of the King
Gandalf,Saruman.. your staff is broken!  ,The Return of the King
Theoden,Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.  ,The Return of the King
Saruman,A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!  ,The Return of the King
Theoden,Grima. Come down! Be free of him!  ,The Return of the King
Saruman,Free? He will never be free! ,The Return of the King
Grima,No!  ,The Return of the King
Frodo Voice Over,"    My dear Sam, you cannot always be torn in two. , You will     have to be one and whole for many years. You have so much to enjoy and to be     and to do. Your part in the story will go on.  ",The Return of the King
Sam,"    Well, Im back. ",The Return of the King
Pippin,     I didnt think it would end this way.   ,The Return of the King
Gandalf,"  End?  No, the journey doesnt end here.  Death is just another path, one that we all must take.    ,  The grey rain curtain of this world rolls back and all turns to silvered glass.  And then you see it.     ",The Return of the King
Pippin,  What?  Gandalf?  See what?     ,The Return of the King
Gandalf,"  White shores and beyond,  a far green country under a swift sunrise.      ",The Return of the King
Pippin,"  Well, , thats not  so bad.     ",The Return of the King
Gandalf,  No.  No it isnt.     ,The Return of the King
Theoden,  Rally to me!  To meeee!      ,The Return of the King
Witch King,     Feast on his flesh.     ,The Return of the King
Eowyn,     I will kill you if you touch him.     ,The Return of the King
Eowyn,     The City has fallen silent.  There is no warmth left in the sun.       ,The Return of the King
Eowyn,  It grows so cold.     ,The Return of the King
Faramir,  Its just the damp of the first spring rain.      ,The Return of the King
Faramir,  I do not believe this darkness will endure.      ,The Return of the King
Sam,"  Look!  The Orcs, theyre moving off!      ",The Return of the King
Saruman,Get down cur! ,The Return of the King
Grima,Ah!  ,The Return of the King
Gandalf,Saruman! You were deep in the enemys counsel. Tell us what you know!  ,The Return of the King
Saruman,You withdraw your guard and I will tell you where your doom will be     decided. I will not be held prisoner here!  ,The Return of the King
Gandalf,Send word to all our allies and to every corner of Middle Earth that     still stands free. The enemy moves against us. We need to know where he will     strike.  ,The Return of the King
Treebeard,"The filth of Saruman is washing away. Trees will come back to live here. ,Young trees. Wild trees.  ",The Return of the King
Aragorn,Pippin! ,The Return of the King
Treebeard,Bless my bark!  ,The Return of the King
Gandalf,Peregrin Took. Ill take that my lad! Quickly now!  ,The Return of the King
Witch King,  Do not come between the Nazgl and his prey.     ,The Return of the King
